Time (s): 0.00028
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00029
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.0003
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00031
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00032
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00033
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00034
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00035
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00036
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00037
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00038
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00039
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.0004
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00041
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00042
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00043
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00044
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00045
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00046
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00047
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00048
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00049
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.0005
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00051
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00052
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00053
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00054
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00055
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00056
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00057
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00058
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00059
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.0006
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00061
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00062
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00063
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00064
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00065
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00066
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00067
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00068
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00069
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.0007
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00071
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00072
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00073
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00074
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00075
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00076
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00077
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00078
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00079
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.0008
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00081
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00082
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00083
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00084
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00085
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00086
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00087
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00088
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00089
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.0009
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00091
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00092
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00093
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00094
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00095
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00096
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00097
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00098
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00099
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.001
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00101
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00102
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00103
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00104
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00105
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00106
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00107
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00108
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00109
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.0011
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00111
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00112
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00113
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00114
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00115
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00116
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00117
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00118
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00119
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.0012
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00121
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00122
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00123
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00124
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00125
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00126
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00127
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00128
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00129
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.0013
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00131
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00132
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00133
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00134
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00135
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00136
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00137
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00138
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00139
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.0014
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00141
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00142
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00143
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00144
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00145
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00146
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00147
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00148
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00149
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.0015
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00151
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00152
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00153
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00154
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00155
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00156
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00157
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00158
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00159
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.0016
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00161
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00162
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00163
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00164
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00165
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00166
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00167
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00168
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00169
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.0017
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00171
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00172
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00173
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00174
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00175
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00176
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00177
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00178
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00179
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.0018
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00181
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00182
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00183
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00184
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00185
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00186
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00187
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00188
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00189
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.0019
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00191
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00192
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00193
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00194
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00195
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00196
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00197
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00198
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00199
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.002
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00201
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00202
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00203
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00204
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00205
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00206
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00207
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00208
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00209
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.0021
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00211
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00212
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00213
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00214
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00215
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00216
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00217
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00218
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00219
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.0022
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00221
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00222
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00223
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00224
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00225
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00226
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00227
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00228
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00229
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.0023
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00231
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00232
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00233
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00234
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00235
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00236
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00237
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00238
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00239
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.0024
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00241
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00242
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00243
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00244
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00245
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00246
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00247
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00248
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00249
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.0025
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00251
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00252
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00253
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00254
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00255
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00256
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00257
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00258
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00259
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.0026
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00261
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00262
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00263
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00264
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00265
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00266
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00267
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00268
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00269
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.0027
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00271
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00272
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00273
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00274
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00275
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00276
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00277
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00278
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00279
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.0028
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00281
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00282
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00283
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00284
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00285
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00286
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00287
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00288
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00289
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.0029
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00291
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00292
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00293
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00294
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00295
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00296
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00297
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00298
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00299
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.003
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00301
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00302
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00303
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00304
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00305
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00306
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00307
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00308
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00309
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.0031
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00311
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00312
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00313
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00314
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00315
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00316
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00317
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00318
